pickup_weekday,pickup_weekday_name,pickup_hour,order_count
0,Monday,0,8151
0,Monday,1,3731
0,Monday,2,2027
0,Monday,3,1423
0,Monday,4,2251
0,Monday,5,4421
0,Monday,6,9629
0,Monday,7,17034
0,Monday,8,21700
0,Monday,9,22237
0,Monday,10,22240
0,Monday,11,23657
0,Monday,12,24501
0,Monday,13,25273
0,Monday,14,26648
0,Monday,15,27920
0,Monday,16,27764
0,Monday,17,31168
0,Monday,18,31456
0,Monday,19,26933
0,Monday,20,26281
0,Monday,21,25688
0,Monday,22,19748
0,Monday,23,12459
1,Tuesday,0,7064
1,Tuesday,1,3304
1,Tuesday,2,1672
1,Tuesday,3,1112
1,Tuesday,4,1682
1,Tuesday,5,3942
1,Tuesday,6,9430
1,Tuesday,7,20159
1,Tuesday,8,26860
1,Tuesday,9,26111
1,Tuesday,10,24386
1,Tuesday,11,24924
1,Tuesday,12,26134
1,Tuesday,13,26965
1,Tuesday,14,29334
1,Tuesday,15,30523
1,Tuesday,16,29199
1,Tuesday,17,34295
1,Tuesday,18,36006
1,Tuesday,19,31736
1,Tuesday,20,33235
1,Tuesday,21,35624
1,Tuesday,22,28886
1,Tuesday,23,17046
2,Wednesday,0,11236
2,Wednesday,1,4928
2,Wednesday,2,2583
2,Wednesday,3,1590
2,Wednesday,4,2228
2,Wednesday,5,4885
2,Wednesday,6,12405
2,Wednesday,7,27444
2,Wednesday,8,35231
2,Wednesday,9,33385
2,Wednesday,10,31691
2,Wednesday,11,32208
2,Wednesday,12,33221
2,Wednesday,13,34557
2,Wednesday,14,37147
2,Wednesday,15,38874
2,Wednesday,16,38471
2,Wednesday,17,44875
2,Wednesday,18,46964
2,Wednesday,19,42117
2,Wednesday,20,44097
2,Wednesday,21,47362
2,Wednesday,22,41869
2,Wednesday,23,25976
3,Thursday,0,13418
3,Thursday,1,6451
3,Thursday,2,3211
3,Thursday,3,2209
3,Thursday,4,2563
3,Thursday,5,5495
3,Thursday,6,13138
3,Thursday,7,25888
3,Thursday,8,33852
3,Thursday,9,34179
3,Thursday,10,32442
3,Thursday,11,33656
3,Thursday,12,35205
3,Thursday,13,36616
3,Thursday,14,40752
3,Thursday,15,41572
3,Thursday,16,37772
3,Thursday,17,44749
3,Thursday,18,47532
3,Thursday,19,46711
3,Thursday,20,48234
3,Thursday,21,49682
3,Thursday,22,45558
3,Thursday,23,35000
4,Friday,0,21565
4,Friday,1,11763
4,Friday,2,7290
4,Friday,3,4819
4,Friday,4,4584
4,Friday,5,6539
4,Friday,6,13080
4,Friday,7,24208
4,Friday,8,29439
4,Friday,9,29101
4,Friday,10,29647
4,Friday,11,31076
4,Friday,12,33790
4,Friday,13,34767
4,Friday,14,39932
4,Friday,15,42401
4,Friday,16,38966
4,Friday,17,43909
4,Friday,18,47346
4,Friday,19,45852
4,Friday,20,43379
4,Friday,21,43135
4,Friday,22,45601
4,Friday,23,43373
5,Saturday,0,29716
5,Saturday,1,23066
5,Saturday,2,16540
5,Saturday,3,10792
5,Saturday,4,6485
5,Saturday,5,3546
5,Saturday,6,5705
5,Saturday,7,8027
5,Saturday,8,12944
5,Saturday,9,19075
5,Saturday,10,23409
5,Saturday,11,26073
5,Saturday,12,28063
5,Saturday,13,29702
5,Saturday,14,30007
5,Saturday,15,30337
5,Saturday,16,32679
5,Saturday,17,34030
5,Saturday,18,37051
5,Saturday,19,37083
5,Saturday,20,30513
5,Saturday,21,30522
5,Saturday,22,35923
5,Saturday,23,36643
6,Sunday,0,31843
6,Sunday,1,26241
6,Sunday,2,19196
6,Sunday,3,13268
6,Sunday,4,8505
6,Sunday,5,4256
6,Sunday,6,5547
6,Sunday,7,7359
6,Sunday,8,10781
6,Sunday,9,16743
6,Sunday,10,21798
6,Sunday,11,24725
6,Sunday,12,27318
6,Sunday,13,28878
6,Sunday,14,28720
6,Sunday,15,28384
6,Sunday,16,30367
6,Sunday,17,30672
6,Sunday,18,30380
6,Sunday,19,26736
6,Sunday,20,22611
6,Sunday,21,21344
6,Sunday,22,17897
6,Sunday,23,12892
